header_id,cue,N,Mantel_r,Mantel_p,R2,Adj_R2,Beta_Extraversion,Beta_Agreeableness,Beta_Conscientiousness,Beta_Neuroticism,Beta_Openness,Beta_BES-A,Beta_REI
header_0,Horror Movie,200,0.014272638107110984,0.321,0.016734661582995303,-0.01911355388012459,0.06252766702341499,0.04490588716884404,-0.05074399330674914,0.05417899282895942,0.045641933244188554,-0.03653375687243681,0.0862655565428436
header_1,Math,200,0.1212392050249607,0.002,0.12990677659834948,0.09818462782849757,0.2552724946001975,-0.0019158542193198763,0.04259314226548898,0.04917256785559837,-0.07912314039994808,0.06123513521562343,0.10647205585554673
header_10,A hand-written note,200,0.03704473930325255,0.134,0.44018551820242846,0.41977561522022533,-0.27564057562920524,0.5054843600136288,0.010854987214702554,0.006878196261510622,0.11410297102071873,-0.021012885327803238,-0.16023332284877856
header_11,beautifulness,200,0.16553395600707843,0.0,0.5852363308312882,0.5701147387261789,-0.2591623058038079,0.48568203973094304,0.10239072840475678,0.08132737316420018,0.2069059489528107,-0.1766221775054459,-0.19456716922669848
header_12,Aircraft engine,200,0.04305283674113582,0.172,0.10585822295595348,0.0732593040012226,-0.09413435887906971,0.18397909411268037,0.1745078625966119,0.045328263112363855,0.0030576886350349823,-0.04345806671175143,-0.15860593386058056
header_13,dinosour,200,0.13861982956768526,0.0,0.4942700317156754,0.47583195995530947,-0.2550293373439894,0.4757387061055964,0.09206060860791641,-0.007480967750739108,0.17000648085937245,-0.12592914962445734,-0.17486356856481688
header_14,Drinking,200,0.15427505324399718,0.001,0.34950352359253234,0.32578750622351016,0.2411747996165497,-0.08628485987087244,-0.10657977611105747,-0.2416172215723652,-0.025145674878795814,0.13858803206375536,0.30563800380572315
header_15,venture capital,200,0.08102260415740259,0.021,0.15373966343968049,0.12288642200258548,-0.16181443400853024,0.30183977216349944,0.1890607299598746,-0.05087915899986106,-0.003051533870386147,-0.0028068239054052924,-0.03816211704059849
header_16,Smoke detector,200,0.09158225974268787,0.0,0.5046344919179933,0.4865742911025034,0.27739089389297883,-0.4934508363451479,-0.06459226703548021,0.007773467683209545,-0.08449152748501793,0.17893992763509686,0.19130058993616572
header_17,Candle Light at New City,200,0.03484019698959845,0.151,0.13693049801070256,0.10546442241734277,-0.09748416304859592,0.29314933982686614,0.03630734789438822,0.17947384193284838,-0.11259003378982872,-0.11615816429689446,-0.10293780784259009
header_18,Avatar 2,200,0.11459253406764362,0.001,0.3873581245126567,0.36502222280218066,-0.26569907399825016,0.333346488947283,0.0423422589903697,-0.14176159100869576,0.14923438998818317,-0.1794964594491406,-0.14892732698715203
header_19,Diet Coke,200,0.061867821287089626,0.035,0.18688573474532455,0.1572409438245811,0.16174438689353468,-0.25702198401306425,-0.009251326706138468,0.021000529136588987,-0.08303505246958197,0.1612986792888932,0.09684034158784996
header_2,Artificial General Intelligence,200,0.007660127186696927,0.381,0.07811507403224383,0.04450468610633607,0.05945586728472986,-0.2039903490446309,-0.1085177185778901,0.0432414078745996,-0.02649122642874214,0.11956280095479327,-0.03534324773469513
header_3,nuclear,200,0.03943936058382924,0.146,0.0483944810029151,0.013700529789479776,0.01987398833046941,0.1808147640865488,0.037806676723134265,0.015744736006269005,-0.02122706991989534,0.08586968145461327,-0.06265957196023819
header_4,cat,200,-0.024566537163624662,0.768,0.053938402352204484,0.019446573271295287,-0.007987845465739885,0.055968594550664025,-0.021177082896411365,-0.11263268282116383,0.13306541389195095,-0.0502957065227323,-0.08954361620380592
header_5,Glass,200,0.14409033887778627,0.0,0.5264867004621678,0.5092231947498511,0.21812989064442018,-0.4448955079058472,-0.08980502389667665,-0.027409191202307375,-0.18624557741113903,0.11185377960132863,0.2783094754263252
header_6,graduation yearbook,200,0.14844251204184328,0.0,0.40186955003685243,0.3800627107152793,0.032915452308035116,0.48454872894154705,0.11297343473529575,-0.149609302548305,0.15580353074819037,-0.08912033645300999,0.026931961082741755
header_7,streaming video,200,0.05644728268747344,0.049,0.38235007136648413,0.3598315843850538,-0.22046287676307533,0.4838647911568933,0.09686890425097763,-0.0031528575713106743,0.0731123316901243,-0.1638619186578107,-0.08499114060745977
header_8,Murphy's Law,200,0.07347136871805847,0.035,0.036847724126267356,0.001732797401704178,-0.025602020227161862,0.17792555385168968,-0.009620994993260365,0.09936143921690702,-0.04477931970412054,-0.07390545479667218,-0.013790373758968412
header_9,Your music taste,200,0.14276905094337278,0.0,0.5866035672617629,0.5715318223181813,0.3669224721708264,-0.42342449300598844,-0.128092823143272,0.0028277469381242613,-0.15828455116608978,0.16878046620143514,0.23386741200069538
